text,label
सर्वगुणसम्पन्न कोहि हुन,n
बिगतका कमि-कमजोरिबाट पाठ सिकेर आगामी जिवनमा सत्मार्गमा हिडेर देशको भलो हुने,p
काम निरन्तर गरिरहनु होला धेरै-धेरै शुभकामना,p
जिन्दगिको यात्रा यस्तै हो बाटोहरु सबै सजिलो छैन,n
सकारात्मक भावनाका साथ सहि कार्य गर्दै अगाडि बड्नै पर्छ यसको निम्ति शुभकामना तपाईंलाई,p
जीवनमा ठेस् र चोट कैंयौं लाग्छन्,n
त्यो जीवनको अन्त्य हो,n
आफु स्वयम कति पिडाबाट गुज्रीए पनि नेपाली जनताको पिडामा मलम लगाउने तपाईको अथक प्रयास प्रति मेरो सलाम छ,p
सोचे जस्तो छैन जीवन सम्झे जस्तो छैन जीवन,n
सार्वजनिक महत्वका यति ठुल्ठुला घटना,n
जिबनमा अनेकउँ बिध्न बाधा अड्चना अाउँछन,n
सुप्रभात,nu
दोषि नै हुन् भन्ने लाग्छ तपाईं लाई,n
कुरो यस्तो हो भने पहिल्यै किन आएन यतिखेर बांगो कुरा गरेर हुन्छ,n
मर्यादा अलिकति भए पनि रहेछ,nu
मानवता लोप भैसकेको छ ती दुष्टहरूका,n
हाम्रो देशको समस्या,nu
प्रेम प्रसाद सन्जेललाई कुन शब्दले सम्मान गरौं खै यस्ता असल र इमानदार,p
कर्मचारी देशमा भए देश बिकास अवस्य हुने थियो तपाईंको त्यो बोली सुन्दा र इमान्दारीता देख्दा लाखौं जनताको तर्फबाट सलाम,p
पुच्छरले टाउको हल्लाको तेति राम्रो होइन राजनितीक अस्थिरता रमाउन पल्केका कर्मचारीको रवैया यता नि देखा परो,n
हजुरको साहसलाई सलाम बलात्कारले सजाय र पिढीतले न्याय पाएपछि त्यो दुखाई ठिक होलानी,p
सलाम छ रवि सर हजुरलाई र हजुर जस्तै सहासी कर्मयोद्धा कर्मचारीलाई,p
टाउका भित्र धेरै फाेहाेर हुनेहरुकाे टाउको नदुखि रहन सक्दैन,n
सही कुरा दाजु एक मिडियाले अर्को मिडियाको नाम नलिने कुरा त क्या चित्त बुझ्यो,p
आजसम्म कुनै कर्मचारीले आफैंलाई भ्रष्टाचारी,n
हुँ भनेको इतिहास छ र गोपाल खड्का चुडामणि शर्माले हामी भ्रष्टाचारी,n
हौं भन्छन् र पक्कै पनि भनेनन् र भन्दैनन् पनि सक्किगो नि यिन्ले चाहेको ठाउँ पाउदा सम्म उनै वली बिष्ट महान थिए अहिले ठुल्ठुला कुरा,n
एसैगरी देशभक्ती एक भैयो भने भस्तचार अन्ते हुने देखीश्छ जस्तै प्रेम सन्जेल जस्ता,p
चप्लूसे पाराले केहि हुने वाला छैन भ्रष्ट चोर,n
संग खरो रूपमा प्रस्तुत हुनु नै पर्,n
राम्रो र नराम्रो कहिले समान हुनै सकदैन जय रवि,p
आत्यंतै राम्रो लाग्यो तपाई को कुनै पनी कार्यक्रम नहेरी निन्द्रै लाग्दैन,p
को तार्किक प्रस्तुतिका अगाडी अन्य व्यक्तिलाई टिक्न हम्मेहम्मे हुँदोरहेछ,n
हैन धेरै कुरा दम्भले हल्का रुपमा उत्तर दिए मन परेन,n
संवाद सुनिरहु लागेको थियो कति चाडै सकिएछ,nu
त्यति उच्च सम्मानका साथ पनि त्यति भारी प्रश्न ठेल्न सकिंदो रहेछ त्यो यहाँ देखियो सेसन उत्तम थियो बधाई दुवैलाई,p
बिचबिचमा टोकाटोका गरेर पो,n
दुई आदर्णीय हरू ऐकैसाथखुसी लाग्छ देख्दा अनी अलीक भऐनी मन आनन्दी हुन्छ ऐस्ता बेक्तीहरुनी हुनुहुन्छ हाम्रो देशमादेशका गहना हीराऐस्तै बेक्तीहरुको समुह बनेर देश बीकास हेर्ने धोको छ हामो सपना पुरा कैलेहोला साथ हाम्रो छ आदर्णीय सरहरूलाईकै लेखीदीनुस,p
दुबै जना को कुराकानी सुन मन छ मलाई पनि,p
दुई आदरणीय हरु एकै ठाँउमा देख्न पाउदा खुशी लाग्यो अब संवाद चै हेर्नू पर्छ,p
दुई पुस्ता को राम्रै जुहारी भनौ कि बिषयान्तर्गत छलफल को ठुलै चर्चा छ,p
निकै राम्रो कुराकानी,p
यो कुरा कानी को भिडियो सम्बाद लिङ्क कता पाईन्छ होला रबि दाइ,nu
गूड जब,p
निकै राम्रो कुराकानी रबि जी,p
निधन भैसकेका नारायण गोपाल तपाइको बिहेमा जन्ती चाहिँ कसरी आए भनि सोधिदिनु होला,nu
खुसीवाला,p
पाण्डे बाैद्दिक हुन,p
तर उनको टक साे चलाउने शैलीमा अाफु वढि हावि हुने चाहाना,n
रवीन्द्र मिश्रसगकाे अन्तर्वार्तामा मिश्रले उनलाई बढि बाेल्याे,n
अाराेप लगाएका थिय,n
गेस्टलाई छायामा पारेर अाफु हिराे हुन खाेज्ने कारण के भनेर साेध्नुस,n
मैले एसो भने भंने के म सहि हुन्छु,nu
आइन्दा कुनै कार्यक्रम मा गएर बालुवाटार मा गएर बान्ता गरेको छु,n
बिनोद चौधरी को बेडरूम मा पुगेको छु,nu
आफू खुब माहान अनि ठूलाबडा सँग मात्र सँगत गर्छु भन्ने जस्तो फुर्ती नलगाउनु भन्दिनु होला,n
मैले सोध्ने प्रश्न जसरी भएपनि राखी दिनु होला रबि सरतपाई जस्तो देश भक्त मान्छे,p
किन कुनै पार्टीमा सामेल नभएकोभनेर सोध्नु होलारबि सर हजुरहरु मिलेर कुनै एउटा पार्टी खोल्नु होस् जुन पार्टी जनताको हक र अधिकारको लागि हुने छमेरो प्रश्न हजुरहरू दुवैलाई हो,p
बिजय कुमार दाईलाई भन्दिनू तपाईँको स्वभाव रवीन्द्र मिश्र संग धेरै मिल्छ विवेकशील साझामा गएर देश बनाउने अभियानमा लाग्न के ले रोकेको छ भनेर,p
साेचे भन्दा वढि घमण्डि देखिय पाण्डे उनको घमण्ड,n
त्यहा नेर देखियो जतिवेला तपाईंले अाफुलाई प्रस्न गर्न आग्रह गर्नुभयो तर उनले प्रश्न गरेननतपाईंको र्याडिकल पत्रकारिताकाे वारेमा केही साेधेनन किनकि त्यो साेध्ने बित्तिकै तपाईंको कामले उ छायामा पर्थे,n
नेपाल धन्य छ किनकि बिजय र रवि जस्ता पत्रकारले नेपालकाे कुकृति हटाएका छन,p
(दिशा निर्देश) कार्यक्रमको कुनै एक भाग मा सम्बादको शिलशिलामादेश बनाउनु छ भनेपत्रकार भएर हुदैनभन्ने तर्क गर्दा बिजय कुमार ले प्रसग बदल्नु भा थियो एक बरिस्ठजिम्मेवार पत्रकार भएको नाताले पनि उहाले आफ्नो थप प्रस्न या बिचार महामी लाई भनी दिन किन आना कानी गरेकोसोधी दिनु न,n
देश बनाउन केबल पत्रकार भएर हुदैनभन्ने तर्क गर्ने दिशानिर्देश का तात्कालिन पाहुना रबिन्द्रमिश्र थिए,p
धेरै साहित्यकार अल्कोहलिक छन् जनताहरुमा पनि यो समस्याकै रुपमा छ,nu
बिजयकुमार ज्यू ले आफ्ना यसबारे अनुभब बोलिदिए पनि केही सुधार हुनेथियो कि समाजमा,p
बिजयकुमार अाफै ड्रङ्कर हुन,n
हुन् होईन थिए भन्नुपर्ला,p
पुराना लेखक को सिन्दिकेट कहिले सकिन्छ,n
मेरो प्रश्न छ जवाफदेहिता बिहिन शासकबफदारिता बिहिन राष्ट्र सेवक इमान्दारिताबिहिन प्रतिपक्ष खबरदारिताहिन,n
जनताले के लोकतन्त्र जनताको ऐश्वर्य र सार्थक बन्छ पत्रकारिता नेपाल को चौथो अंङ्ग आफनैमा पारदर्शीता आवस्यक छ कि छैन,n
बिजय दाइलाई प्रश्न कसरी हाकाहाकी कुरा गर्न सक्नु हुन्छ,p
यसको लागि कार्यक्रम मार्फत एउटा अपिल गर्न म अनुरोध गर्न चाहन्छु यदि यो उपयुक्त हुन्छ भने,p
एउटा कुनै लेखौ अनि को हरेक मा सबै मिलेर गरौं अनि नेपालमा अपराध कम गर्न एउटा फेसबुक अफिस खोल्न दबाब मुलक सन्देश दिऔ,p
मैले पनि मनमा सोचेको थिए धेरैले अपिल गरे कसो नहोला,p
ले भन्नुभएको यो कुरा एकदम सहि हो धेरैजना यस्तो लुटको चटारोमा परेको उदाहरण हामी धेरै जना सग छ,p
फेसबुक अपराध वास्तविक डाटा राख्ने फेसबुक अफिस राख्न मार्क जुक्भर लाई अनुरोध गरौ,p
यो विषय भन्दा र सुन्दा सामान्य लागेपनि यस किसिमको कार्यमा ब्रह्म्लुट,n
हुने गरेको यस विषयमा पनि रिपोर्टिङ हुनु पर्यो हजुरहरुको टिम बाट,nu
मनोरन्जन कला को स्तर को मुल्यान्कन दर्शक ले गर्ने हो यस्तै नै हुनु पर्छ यो मात्र स्तरिय हो भन्ने हुनु पर्छ भन्ने छैन कलाले अनैतीकता र अपराध को प्रिस्टपोशण मात्र नगरे हुन्छ दर्शक हासिरहेकाछन रमाइ रहेकाछन भने कसैलाई किन टाउको दुखाइ,n
त्यो साथिलै मेरोअनुरोध एस्तो अर्काको चरित्र हत्त्यागर्नेकामनगर्नुहोला,n
यस्तै चाला हो भन्ने सरकारले फेस बुक बन्द गरिनु पर्छ,n
नेपालमा पनि जस्तो अनुसन्धान गर्ने टिम बनाएर काम गर्न सकिन्छ कि रबि सर,p
प्रहरीकोमा रिपोर्ट गर्नुपरो,nu
मैले त हेर्न छाेडिदिएं नेपाली हास्य सिरियल,n
यस्ताे हरकत गर्ने लाई हद सम्म को कारबाही होस,nu
पुलिस,nu
सिधा साधा नेपालि जनातालाइ नेताले लुटे कर्मचारीले लुटे दलाल गुण्डा नाइकेले लुटे,n
समाजका टाठाबाठाले लुटे हुदा हुदै अहिले आयर टिभीका शो हरुले पनि लुटे,n
नलुटने जनतालाई राहत आहत चाहत दिने भनेको सिधा कुरा जनता संगका जुझारु टिम मात्र रहेछन,n
धेरै धरै धन्यवाद सानाे सुझाव पनि अामा काठमाडाैंमा भेटिन पढ्दा पहिले त झसङ्ग बनायाे भेटिन् भनेर न काे खुट्टाे काट्ता समर्थात्मक अर्थ लाग्छ भेटिन भनेर न काे खुट्टाे नकाट्ता निषेधात्मक अर्थ दिन्छ विज्ञेषु किमधिकम्,p
मिनेट सम्म हो रवि दाइले सइ दिनुभो हिजो जनतासँग प्रधानमन्त्री कार्यक्रम चलाउँने एउटा मान्छे बकबक गर्दै थियो छिट्टै ध्यान पुर्याउनु होला ज्यु त्यस्ता कोई चाकडीबाजहरु भन्दा पनि खतरनाक हुन्छन्है,p
हजुर र हजुरको टिमलाई सलाम आफूलाई जन्म दिने आमा किनेर पाइदैन बनाएर बनिदैन त्यसैले आमा नहुदाको पिडा सोचेर सोच्न सकिन्न्न,p
सित्तैमा कसैले मुस्कान त दिदैन लाखौ पैसा दिन्छ कसैले ठग हो त्यो जय होस दाजु को,p
संसारमा थोरै मात्र आमाहरु हुनुहुन्छ जो तपाईं जस्तो हृदय बोकेको सु पुत्र जन्माउने रबि जि कोटि कोटि प्रणाम हजुरको आमालाई,p
सलाम छ रबि सर हजुरलाई सधै हाम्रो साथ र सपोत रहनेछ,p
रबिसर हजुरका यस्ता हरेक कामले म सधा पर्सन्न मात्रै होइन बताउनै नसकिने खुसियालीमा रमाई रहेको छु तर यी अामा छोरिको मिलन भएको र मिलन गराउनमा हजुरको पुर्ण सहयोगमा मेरा अाखबाट अाशु बगे तपाईंको भबिष्य सदा उज्ज्वल रहोस सत्रु सदा टाढा रहुन,p
सलाम रबि दाइ,p
जय होस रवि लामिछाने टिमको,p
बर्षौ देखी बिछोडको पिडाले बलिनआँशुका धारा चुहाएर रुने,n
आमा छोरी को मिलन गराएर समालि नसक्नु खुसी दिने रबि सर लाई दुई हात जोडी प्रणाम छ रबि सर,p
भगवानको आँखा पनि खुसीका आँसु आएहोलान,n
आमा छोरीको मिलन साँचिकै स्मरणीय रहनेछ जिन्दगीभर सिधा कुरा टिम लाई हिर्दय देखी नमन छ,p
नया पुस्ताका सर्वाधिक प्रभावशाली सहकर्मीसंग संवादको अवसर मेरा लागी पनि उतिकै सुखद हो अहिले मात्र होइन बर्षौ अघि प्रकासित खुसी मा पनि रबि लामिछाने भाईका प्रति आफ्ना भावनाहरु पोखेको थिए,p
हामि अाम जनताकाे बहुमत तपाईकाे नाममा दर्ता गरेका छम सर निर्ढुक्क भऐर हिड्नु पर्छ सर अबकाे पियम रबिलामछाने सर तपाईकाे काम कार्यकाे म सधै हिर्दय देखि नै सलाम जयनेपाल भन्न चाहे सर मिस यु टु,p
राम्रा नैतिक वान मांछे हरू जसै एकै ठाऊ हुंछ ढीलो छीट्टो ख़ुशी लग्यो शुभ कामना,p
सबैको आआफ्नो क्षेत्र हुन्छएउटा कुलमानको विज्ञताले हामीलाई अँध्यारोबाट मुक्ति दिलाए,p
रवि लामिछाने पनि पत्रकारिता जगतका विज्ञ हुन्उनले आफ्नो कर्म कुशलता पूर्वक निर्वाह गरी रहेका छन्,p
उनलाई उनकै विशिष्टिकरणको क्षेत्रबाट योगदान पुर्याउन दिउँउनको अनावश्यक भोक नजगाउँ,p
पर्खाइमा छम हामी दाजि,p
संवाद सुन्न र हेर्न आतुर छम सर,p
अब बिकलप खाेजने बेला भकाे छ जनमत रबि सर काे हाे बिजय सर राजनिती जाेजडु हाेला थाेर,p
राष्ट्रका सच्चा सपूत दुबै जना लाई सलाम छ,p
जय नेपाल रबि सर,p
अाजकल बजारमा एकदमै विलासि महगा सरकारि कार तथा ५० सि सि भन्दा माथिका सरकारि माेटरसाइकल दाैडिन्छन सार्वजनिक साधनमा झुन्डिएर यात्रा गर्ने हामीले त्यस्ता महगा साधन सरकारलाइ किनिदिन सक्दैनाै,n
भ्रष्ट हरुले जनताले थाहा नपाउदा सम्म भ्रष्टाचार गरिरहने,n
थाहा पाएपछि फिर्ता गर्छु भनेर सुख पाईन्छ ढाँटी छलि मुद्दा,n
अन्तर्गत घर भएर पनि घरभाडा असुल्ने सबै भ्रष्टहरुसाई अदालतमै मुद्दा दायर गरिनुपर्दछ,n
चोर ले चोरेको थाहा पाएपछि सामान फिर्ता गर्छु भनेर पाईन्छ,n
श्रीमति को घर मा बसेर होला श्रीमान हरु घर भाडा बुझेका अनि श्रीमान हरुको घर मा बसेर होला श्रीमती हरुले बुझेका,p
कठै येस्ता नेतापनि छन है हाम्रो नेपालमा पैसा कसरी आउँछ भन्ने पनि थाहानै छैनरे,nu
मेरो मा आउथेयो मैले चेक नै गरिन रे कति सम्म लाज मर्दो कुरा गरेको अचम्मका नेता कसलाइ के भन्ने कतै लाज पनि बाकी छर अब कठैहाम्रोदेस भस्टचारिले,n
उता विकटकाे स्वास्थ चाैकीमा सिटामाेल सम्म छैन यता घरभाडा अनि घर मर्मत भनेर पैशा दिनेरहेछ के यही त गणतन्त्र मजा,n
आज सम्म हजुर को बारेमा कसैले नराम्रो भनेको सुनेको चुइना सधै यस्तै गरि नेपाली को मन मा बस्नु होला,p
घरभाडा भनेर लगेको त फिर्ता गर्लान तर घर मर्मत भनेर लगिने भाडाको आधा चाही क्यार्ने होला महीने पीछे घर मर्मत चाही के गर्न पर्ने रैछ,n
नेताहरु पनि एस्ता पायौं कि न तिनिहरु जनता भन्दा शिक्षित छन न त यिनीहरू मा काम गर्ने ईक्षा शक्ती नै छन बस छन त मात्र लोभी पन नाताबाद गोताबाद देश भक्ती भन्ने त यिनीहरु मा जिरी प्रतिशत छ,n
यि भ्रष्ट्रचारिहरुलाई भबिष्यमा सांसद बन्न अयोग्य हुने गरि बर्खास्त गरिनुपर्छ,n
जस्तो भर्ष्ट्राचारी कर्मचारिलाई गरिन्छ होला यदि यी भर्ष्टाचारी सांसदमन्त्रीहरुलाई बर्खास्त गरिंदैन भने भ्रष्टाचार,n
कर्मचारिहरुलाईपनि नगरियोस किनकी नियमकानुनको नजरमा सबै बराबर,nu
सबैभन्दा पहिला खोजीपत्रकारिताका माध्यमबाट भ्रष्टहरूलाई नाङगेझार पार्ने पत्रकारलाई सलाम,p
रबि सरको सहास इमानदारी र जोस ले एक दिन नेपाल ले कोल्टे फेर्नेमा हामि ढुक्क छौ बरु आफु मरिन्छ तर रबि लाई केहि हुन दिन्नौ केहि कुबिचार भएका नालाएक हरु रबि सर को खेदो खन्दैछन तर हामि सबै लाई नियालि रहेका का छौ रबि सर हजुर ढुक्क रहनु होला हजुरको लागि हामि मर्न तयार छौ,p
यो विषयमा संवैधानिक पदाधिकारी तथा न्यायाधीशको पनि जाँचबुझ गर्ने कि भ्रष्टाचारको अनुसन्धान गर्ने र फैसला गर्नको अनुहार जनतालाई देखाउँदा सुधार आरम्भ हुन्थ्यो कि,nu
रबि जि छाडिदिनुस गधा हरु लाई जति धोए पनि गाई बन्दैन उपिया हरु को जय होस मेरो देश,p
यो कार्यक्रम रेडियो बाट पनि प्रत्यक्ष प्रसारण हुनुपर्छ,nu
ल आजको जस्तो कार्यक्रममा जस्तै एकभाग चाई नेताहरुको भण्डाफोर विशेष सई लाग्यो,p
सर्बहनराको नाउमा देशको ढुकुटी रित्याउन र गरिब जनतालाई करको मार फसायर मोज गर्ने,n
ती पापि उडुस खुन चुसुवा,n
हईलाई सजाय किन हुदैन हिजो अरूलाई सामन्ति भनेर कुर्लिने उडुस उपिया,n
अाज अाफै सामन्ति का बाउ बनेर बसेका छन यस्तालाई कारबाही हुनैपर्छ,p
लुटेरा हरु ले लुटि रहेको छ देश लाई,n
लुटतन्त्रमा न लुटेर के गर्दीए हुन्थ्यो भन्ने लागीराछ रबीजी,n
राजधानीमा घर हुदाहुदै घरभाडा लिने अधिकांस सांसदहरूले आफुले घर भएको विवरण बुझाएको र आफ्नो नाममा घरभाडा बापतको रकम जम्मा भएको बारेमा मिडियामा आएपछि मात्रै जानकारी भएको बताएका छन् अब फेरि संसद सचिवालय पदाधिकारीलाई प्रश्न गर्नुस् जी घर भएको जानकारी दिदादिदै किन पैसा जम्मागरेको,n
नेपाललाई गरिब बनाऊने यीनहरुले घर भाड़ा त खुलेर भ्रस्टचार गर्छन अरु कति हसुरे होला,n
तपाईले उठाउनु भएकाे घर भाडाकाे कुरा सारै राम्राे लाग्याे यस्ता कुरा अाईरहाेस्,p
अनि यस्ता नेताहरूबाट देश बिकासको आश राख्ने थुक्क हामी नेपाली,n
ठुला ठालु गाउँ घर तिरका चाेर डाँका हरु लुटतन्त्,n
देस नामाकरण गर्न पाे सिह दरबार पसेछन बिचारा साेझा साझा जनतालाई पाे एैन कानुन ठलाठाला डकाँ हरुलाई चैन अाराम कठै नेपालकाे कानुन दैबले जानुन,n
नेपालको राजनीतिको कन्तबिजोग हामीले दिएको भोटको सत्यानास थुइक्क बैमान हरु,n
एक्नाथमाधब जस्ता धर्मद्रोही संस्कृति बिरोधि लाई सुरक्षा हैन हनुमानढोका को एउटा कोठा दिनुपर्छ सुरक्षा हैन,n
ब्यक्तिगत स्वार्थ को लागि सिङै नेपाल लाई खैरेहरुको गुलाम बनाउने खेल हुदैछ नेपाल लाई इसाईकरण बनाएर समयमैजागौहामी,n
सुनिन्छ यो संस्था कम्युनिस्ट बिरोधी रे,n
तर हाम्रा कम्युनिस्ट नेतादयहरु नै लाम लागेर तामझामका साथ परमेश्वर कि छोरिको आशिर्वाद ग्रहण गर्न गए डलरले पनि कमाल नै गर्यो,p
गाठेधर्मलाई अफिम मान्नेहरु आफै वाइबल समाइ परमेश्वरको स्तुति गाउछ्न भने यिनिहरु कम्युनिस्ट भए कि कमाउनिस्ट हजुर,nu
रबि सर तपाईंले जनता को जिज्ञासा लाई एकनाथ ढकाल समक्ष्य प्रस्न राखिरहदा उहाँ को प्रती उत्तर नै चित्तबुझ्दो आए जस्तो महसुस भएन तर पनि जेहोस आफ्नो सस्कार मा राज्य प्रती थोरै नै भए पनि हिलो दल्ने काम बौद्धिक जमात बाट नै भएकोमा उहाँ जस्तो मान्य लाई बुद्धि को सडेरी नपरोसजय होस,p
हिन्दु राष्ट लाई धर्म निर्पछ्य काे नाममा बिदेसि हरु बाट डलर खाऐर कसैकाे बिराेध छैन भन्नु सुर््छा काे माध गर्नु भन्दा ठुलाे अपराध बेहि हैन,nu
सरकारि उच्च अाेहदाका साेषक दलाल हरुकाे कारण नेपालि जनताले कहिले सान्ति र बिकास काे महसुस गर्नु,p
लाई कुनामा ल्याएर स्टुडियोको राम्रो सँग प्रश्न सोध्नु त रविजी लाज लाग्छ सोच्दा यस्ता मान्छेले प्रधानमन्त्री पद धारण गरे यो देशमा पावर मा हुँदा के के विध्वंस मच्चाएको होलान् इनिले,n
अबको मिसन भनेको नै यस्ता भस्ट्चारिलाइ नङ्ग्गाउदै जानुपर्छ रबि सरजनता साथमा छम,n
धन्न रवि दाइ हुनुहुन्छर नेपाली गरीब सिधासाधा जनताको मनमा आसा भरोषा छएउटा श्रम कार्यालय सुधार्न नसक्ने गोकर्णेले गफ त आकासका तारा झार्ने गर्दै थियो तसिधै गोकर्ण विस्ट सँग फ्लो अप गर्नुन रवि दाजु श्रम कार्यालयको स्थिति को बारेमा,p
यी ठुल्ठुला राजनीति कुरा हामीलाई नसुनाउनु बरू अस्ति सुधारगृहमा सिंघम पारामा छापा मारेर,n
रेस्क्यु गरेका ट्यापे जड्याहा गँजडी ड्रगिसलाई के गर्नुभो तिनेरूको अवस्था कृयाकलाप के छ रिपोर्टिङ गर्नु परो जनता जान्न चहन्छन,n
यी सबै धर्मद्रोही र देश द्रोही हुन् एकनाथ पनि माकुने पनि भिखमंगा हरु हुन् कटौरा लियेर डलर माग्दै छन्,n
रबि सर हजुर लाई धम्की दिनेको के भयो,n
कुरा गरि के साध्य र रबि जि,nu
लज्जा शरणम नेपाल् का हरु,nu
भनी सक्याछन आरोप सिद्द भय टुढिखेलमा लगेर झुन्डाउनु हो यदि आरोप सिद्द हुन्छ भने ढिलानगरी इन्लाइ झुन्डाउन पर्च,n
मुकुन्दे भन्दा नालायक व्यक्तिहरुको हातमा देश,n
पैसा भयेछी केही चाइदेन भन्ने सोचले आज ब्यक्ती हुदइ रास्ट्र सम्म डुब्न लाग्यो,n
स्नेही काख लाई लाखौ सलाम,p
अाज दुनियाँ पैसाको पछि होड बाजि चलेको छ,n
कस्ले कसलाई जित्ने तर समाजमा यस्ता उदारण पनि छन् जो अापनु पेट काटेर दोस्राको पेट अगाएका छन् सबैलाई धन्यवाद,p
सलाम छ रवि सर हजुर लागि,p
यॉहा जोडनु पर्नेत पतितत पतितनै भए सिंगो संन्सारलाइ राज्यगर्ने प्रभुभक्तहरू यस्ता होसहराएका समेतको धर्मान्तरणमा लाग्नु ठुलो बेइजत हैनर,nu
सारै राम्रो काम दिदी लगाएत उहाको टिम सम्पुर्ण लाई धेरै धेरै सुभकाम्ना यस्ता काम हरु को धेरै जरुरी छ सलाम छ,p
मिडियाले अाफ्नो ज्यानको बाजी लगाएर भण्डाफोर गर्छ केहि कालाकोटे बर्दिधारीहरुले कमजोर बनाई मुद्धा पेस गर्छन,n
अनि साधरण तारेखमा कुख्यात अपराधीहरु छुट्छन लोैन यो देशको कालाकोटेहरुको वुद्धिमा बिर्को उघ्रियोस्,n
रबि सर अब त अति भो देशमा केहि गर्नु होस्या त कुनै पार्टीमा सामेल हुनु होस होइन भने आफै पार्टी खोल्नु होस्,p
करोडभन्दा करोड जनताको साथ हुदा पनि किन चुप लागेर बस्नु भएकोहजुरका कामहरू लाई सलाम गर्छुरब,p
ि सर अब पार्टी खोल्नु होस् हामी सधै हजुरको साथ मा छौ,p
दुर्बेस्निमा लाग्नु पनि ठिक होइन सर यस्तो दिक्क बनाउछन इनिहरुले कि भोग्नेलाइ नै थाहा हुन्छ राम्रो आचरण भीदेखी राख्नु नै पर्दैन,n
थियो इनिहरु न आफू राम्रोसँग बाच्छन नत अरुलाइ सान्तिले बाच्न दिन्छनयद्यपि अमानवीय कार्य गर्नु गलत हो,n
ठूला कुरा गर्ने असल काम को सिन्को नभाच्ने बाँदर प्रब्रितीका प्रभुबादी नेतालाई राख्न उत्तम स्थान रहेछ,n
सलाम रबी सर,p
आफ्नै दाजु भाइ छोरि चेलि माथि को यस्तो दुर ब्याबाहार,n
कसम मन रुएर आउछ,n
नेपालमा अरु रबि २४ जना जन्मिनु पर्छ रबि लाइ सलाम छ,p
अति भो नि यो त पैसा पनि तिर्नु अनि पिसाब पनि यस्को सजाय कडा हुनु पर्छ,n
मेराे तर्फबाट सलाम रहिरहाेस हरेक पल पलमा रवि सर हजुरकाे कठाेर बाचा लक्ष्य सदा सदा यस्तै रहिरहाेस जय हाेस,p
गार्जेनले पनि सिसिटिभि काे भरमा हेरेर घर नजानु पर्ने थ्याे रवि सर एक पटक मेराे छाेरासँग बाेलेर जान्छु भन्नू पर्ने,n
दर्दानक,n
